category,turns,expect
v45_contexto_velluto_codigo_suelto,ola buen dia || manejas veluto? || 429,"{""scope"": ""all"", ""must_contain_all"": [""429""], ""must_contain_any"": [""velluto"", ""tabaco"", ""color"", ""tono"", ""stock"", ""precio"", ""manej"", ""si"", ""sí""]}"
v45_contexto_velluto_codigo_suelto,buen dia || vendes velluto? || codigo 429,"{""scope"": ""all"", ""must_contain_all"": [""429""], ""must_contain_any"": [""velluto"", ""tabaco"", ""color"", ""tono"", ""stock"", ""precio"", ""manej"", ""si"", ""sí""]}"
v45_contexto_velluto_codigo_suelto,holaa || tienes belluto? || que color es el 429,"{""scope"": ""all"", ""must_contain_all"": [""429""], ""must_contain_any"": [""velluto"", ""tabaco"", ""color"", ""tono"", ""stock"", ""precio"", ""manej"", ""si"", ""sí""], ""expected_no_pedidos"": true}"
v45_contexto_velluto_codigo_suelto,buenos dias || tendras velluto || 429,"{""scope"": ""all"", ""must_contain_all"": [""429""], ""must_contain_any"": [""velluto"", ""tabaco"", ""color"", ""tono"", ""stock"", ""precio"", ""manej"", ""si"", ""sí""]}"
v45_contexto_velluto_codigo_suelto,buenas || manejas veluto? || quiero ver 429,"{""scope"": ""all"", ""must_contain_all"": [""429""], ""must_contain_any"": [""velluto"", ""tabaco"", ""color"", ""tono"", ""stock"", ""precio"", ""manej"", ""si"", ""sí""], ""expected_no_pedidos"": true}"
v45_contexto_velluto_codigo_suelto,hola buenas || hay velluto? || el color 429 porfa,"{""scope"": ""all"", ""must_contain_all"": [""429""], ""must_contain_any"": [""velluto"", ""tabaco"", ""color"", ""tono"", ""stock"", ""precio"", ""manej"", ""si"", ""sí""]}"
v45_contexto_velluto_codigo_suelto,buenas tardes || tienes belluto? || quiero ver 429,"{""scope"": ""all"", ""must_contain_all"": [""429""], ""must_contain_any"": [""velluto"", ""tabaco"", ""color"", ""tono"", ""stock"", ""precio"", ""manej"", ""si"", ""sí""], ""expected_no_pedidos"": true}"
v45_contexto_velluto_codigo_suelto,buen dia || tiene beyuto? || quiero ver 429,"{""scope"": ""all"", ""must_contain_all"": [""429""], ""must_contain_any"": [""velluto"", ""tabaco"", ""color"", ""tono"", ""stock"", ""precio"", ""manej"", ""si"", ""sí""], ""expected_no_pedidos"": true}"
v45_contexto_velluto_codigo_suelto,buenas tardes || tienes velluto? || me dices del 429,"{""scope"": ""all"", ""must_contain_all"": [""429""], ""must_contain_any"": [""velluto"", ""tabaco"", ""color"", ""tono"", ""stock"", ""precio"", ""manej"", ""si"", ""sí""], ""expected_no_pedidos"": true}"
v45_contexto_velluto_codigo_suelto,buenas || hay velluto? || que color es el 429,"{""scope"": ""all"", ""must_contain_all"": [""429""], ""must_contain_any"": [""velluto"", ""tabaco"", ""color"", ""tono"", ""stock"", ""precio"", ""manej"", ""si"", ""sí""], ""expected_no_pedidos"": true}"
v45_contexto_velluto_codigo_suelto,oye una pregunta || tiene beyuto? || y el 429?,"{""scope"": ""all"", ""must_contain_all"": [""429""], ""must_contain_any"": [""velluto"", ""tabaco"", ""color"", ""tono"", ""stock"", ""precio"", ""manej"", ""si"", ""sí""]}"
