category,turns_json,expect_json
v39_accesorio_relleno_precio_stock,"[""Oye una pregunta"", ""maneja relleno medio kilo?"", ""me puede decir precio o si hay?""]","{""scope"": ""all"", ""must_contain_any"": [""relleno"", ""medio kilo"", ""manej"", ""tenemos"", ""precio"", ""stock"", ""hay"", ""disponible""], ""must_not_only_ask_hilo_codigo"": true, ""must_not_contain_any"": [""Pregunta x1""]}"
v39_accesorio_ojo_followup,"[""hola"", ""tienes ojo de seguridad negro de 14 mm?"", ""y bolsa de 100 cuanto?""]","{""scope"": ""all"", ""must_contain_any"": [""ojo"", ""seguridad"", ""14"", ""negro"", ""precio"", ""bolsa"", ""manej"", ""tenemos""], ""must_not_only_ask_hilo_codigo"": true, ""must_contain_all"": [""ojo"", ""seguridad""], ""must_not_contain_any"": [""Komfy"", ""Komfy Mini"", ""madeja""]}"
v39_accesorio_gancho_medida,"[""disculpa"", ""manejan ganchos de aluminio?"", ""ocupo del 4.5 y del 5 si tienes""]","{""scope"": ""all"", ""must_contain_any"": [""gancho"", ""aluminio"", ""4.5"", ""5"", ""medida"", ""manej"", ""revis""], ""must_not_only_ask_hilo_codigo"": true}"
v39_saludo_no_cotizar_pregunta,"[""Oye una pregunta""]","{""scope"": ""final"", ""must_contain_any"": [""claro"", ""dígame"", ""digame"", ""con gusto"", ""le atiendo""], ""must_not_contain_any"": [""Pregunta x1"", ""cotizo""]}"
v39_saludo_disculpa_no_generico,"[""Disculpa""]","{""scope"": ""final"", ""must_contain_any"": [""claro"", ""dígame"", ""digame"", ""con gusto"", ""le atiendo""], ""must_not_contain_any"": [""Pregunta x1"", ""me indica qué hilo, color o código""]}"
v39_hilo_dinamico_kotton_milk_precio,"[""hola"", ""cuanto cuesta kotton milk?"", ""y tienes colores claros?""]","{""scope"": ""all"", ""must_contain_any"": [""kotton"", ""milk"", ""precio"", ""colores"", ""tonos"", ""claro""], ""must_not_only_ask_hilo_codigo"": true}"
v39_hilo_dinamico_baby_best,"[""buen día"", ""manejas baby best?"", ""sirve para bebé?""]","{""scope"": ""all"", ""must_contain_any"": [""baby"", ""best"", ""bebé"", ""bebe"", ""suave"", ""manej""], ""must_not_only_ask_hilo_codigo"": true}"
v39_marca_sola_karina,"[""hola"", ""maneja karina?"", ""qué hilos de karina tienes?""]","{""scope"": ""all"", ""must_contain_any"": [""karina"", ""komfy"", ""kurumi"", ""kotton"", ""trapillo"", ""hilos"", ""maneja""], ""must_not_only_ask_hilo_codigo"": true}"
v39_marca_sola_alize,"[""buenas tardes"", ""trabajas alize?"", ""de alize tienes velluto?""]","{""scope"": ""all"", ""must_contain_any"": [""alize"", ""velluto"", ""manej"", ""tenemos""], ""must_not_only_ask_hilo_codigo"": true}"
v39_recomendacion_no_repetir_no_se,"[""hola"", ""quiero hacer amigurumis pero no se que hilo me conviene"", ""algo suave y económico""]","{""scope"": ""final"", ""must_contain_any"": [""komfy"", ""kurumi"", ""amigurumi"", ""suave"", ""económico"", ""economico""], ""must_not_contain_any"": [""no se vaya"", ""no sé"", ""no se""]}"
