case_id,category,turns,expect
00001_v42_saludo_puro_debe_esperar_hola,v42_saludo_puro_debe_esperar,Hola,"{""scope"": ""final"", ""must_contain_any"": [""hola"", ""buen"", ""claro"", ""con gusto"", ""atiendo"", ""duda"", ""pedido"", ""producto""], ""must_not_contain_any"": [""Pregunta x1"", ""le cotizo"", ""total:"", ""total agregado"", ""x1"", ""x2""], ""expected_no_pedidos"": true, ""should_wait_for_more"": true}"
00002_v42_saludo_puro_debe_esperar_holaaa,v42_saludo_puro_debe_esperar,holaaa,"{""scope"": ""final"", ""must_contain_any"": [""hola"", ""buen"", ""claro"", ""con gusto"", ""atiendo"", ""duda"", ""pedido"", ""producto""], ""must_not_contain_any"": [""Pregunta x1"", ""le cotizo"", ""total:"", ""total agregado"", ""x1"", ""x2""], ""expected_no_pedidos"": true, ""should_wait_for_more"": true}"
00003_v42_saludo_puro_debe_esperar_buenos_d_as,v42_saludo_puro_debe_esperar,Buenos días,"{""scope"": ""final"", ""must_contain_any"": [""hola"", ""buen"", ""claro"", ""con gusto"", ""atiendo"", ""duda"", ""pedido"", ""producto""], ""must_not_contain_any"": [""Pregunta x1"", ""le cotizo"", ""total:"", ""total agregado"", ""x1"", ""x2""], ""expected_no_pedidos"": true, ""should_wait_for_more"": true}"
00004_v42_saludo_puro_debe_esperar_buen_dia,v42_saludo_puro_debe_esperar,Buen dia,"{""scope"": ""final"", ""must_contain_any"": [""hola"", ""buen"", ""claro"", ""con gusto"", ""atiendo"", ""duda"", ""pedido"", ""producto""], ""must_not_contain_any"": [""Pregunta x1"", ""le cotizo"", ""total:"", ""total agregado"", ""x1"", ""x2""], ""expected_no_pedidos"": true, ""should_wait_for_more"": true}"
00005_v42_saludo_puro_debe_esperar_buenas,v42_saludo_puro_debe_esperar,Buenas,"{""scope"": ""final"", ""must_contain_any"": [""hola"", ""buen"", ""claro"", ""con gusto"", ""atiendo"", ""duda"", ""pedido"", ""producto""], ""must_not_contain_any"": [""Pregunta x1"", ""le cotizo"", ""total:"", ""total agregado"", ""x1"", ""x2""], ""expected_no_pedidos"": true, ""should_wait_for_more"": true}"
00006_v42_saludo_puro_debe_esperar_buenas_tardes,v42_saludo_puro_debe_esperar,Buenas tardes,"{""scope"": ""final"", ""must_contain_any"": [""hola"", ""buen"", ""claro"", ""con gusto"", ""atiendo"", ""duda"", ""pedido"", ""producto""], ""must_not_contain_any"": [""Pregunta x1"", ""le cotizo"", ""total:"", ""total agregado"", ""x1"", ""x2""], ""expected_no_pedidos"": true, ""should_wait_for_more"": true}"
00007_v42_saludo_puro_debe_esperar_disculpa,v42_saludo_puro_debe_esperar,Disculpa,"{""scope"": ""final"", ""must_contain_any"": [""hola"", ""buen"", ""claro"", ""con gusto"", ""atiendo"", ""duda"", ""pedido"", ""producto""], ""must_not_contain_any"": [""Pregunta x1"", ""le cotizo"", ""total:"", ""total agregado"", ""x1"", ""x2""], ""expected_no_pedidos"": true, ""should_wait_for_more"": true}"
00008_v42_saludo_puro_debe_esperar_oye,v42_saludo_puro_debe_esperar,Oye,"{""scope"": ""final"", ""must_contain_any"": [""hola"", ""buen"", ""claro"", ""con gusto"", ""atiendo"", ""duda"", ""pedido"", ""producto""], ""must_not_contain_any"": [""Pregunta x1"", ""le cotizo"", ""total:"", ""total agregado"", ""x1"", ""x2""], ""expected_no_pedidos"": true, ""should_wait_for_more"": true}"
00009_v42_saludo_puro_debe_esperar_oye_una_pregunta,v42_saludo_puro_debe_esperar,Oye una pregunta,"{""scope"": ""final"", ""must_contain_any"": [""hola"", ""buen"", ""claro"", ""con gusto"", ""atiendo"", ""duda"", ""pedido"", ""producto""], ""must_not_contain_any"": [""Pregunta x1"", ""le cotizo"", ""total:"", ""total agregado"", ""x1"", ""x2""], ""expected_no_pedidos"": true, ""should_wait_for_more"": true}"
00010_v42_saludo_puro_debe_esperar_hola_buenas_una_duda,v42_saludo_puro_debe_esperar,"Hola buenas, una duda","{""scope"": ""final"", ""must_contain_any"": [""hola"", ""buen"", ""claro"", ""con gusto"", ""atiendo"", ""duda"", ""pedido"", ""producto""], ""must_not_contain_any"": [""Pregunta x1"", ""le cotizo"", ""total:"", ""total agregado"", ""x1"", ""x2""], ""expected_no_pedidos"": true, ""should_wait_for_more"": true}"
