case_id,category,turns,expect
00001_v46_larga_catalogo_tono_gancho_recomendacion_y_si_crees_que_me_sirva_para_un_elefante_el_codigo_87_o_seria_mejor_el,v46_larga_catalogo_tono_gancho_recomendacion,"hola buenas tardes de pura casualidad maneja el velluto? || que bien me podria mandar el catalogo completo por favor || mmm no me gustan mucho los tonos tiene otros? || sabes que si me llevare el velluto pero me muestras el 56, 4299 y 550? a por cierto con que gancho se teje? || y si crees que me sirva para un elefante el codigo 87 o seria mejor el 416?","{""scope"": ""all"", ""must_contain_any"": [""elefante"", ""87"", ""416"", ""recom"", ""opci"", ""velluto"", ""gancho""], ""must_not_contain_any"": [""x429"", ""Es 429"", ""Dices 429""]}"
00002_v46_larga_pregunta_codigo_suelto_no_pedido_gracias_y_el_429,v46_larga_pregunta_codigo_suelto_no_pedido,"ola buen dia || manejas veluto? || me mandas la carta de colores? || gracias, y el 429?","{""scope"": ""all"", ""must_contain_any"": [""429"", ""velluto"", ""stock"", ""disponible"", ""tono"", ""color""], ""expected_no_pedidos"": true}"
00003_v46_larga_info_color_no_cotizar_que_color_es_el_429,v46_larga_info_color_no_cotizar,holaa || tienes belluto? || me puedes decir que tonos hay? || que color es el 429,"{""scope"": ""all"", ""must_contain_any"": [""429"", ""color"", ""tono"", ""camel"", ""tabaco""], ""expected_no_pedidos"": true, ""must_not_contain_any"": [""cotizo"", ""agrego"", ""x1""]}"
00004_v46_larga_pedido_cantidad_humana_y_tambien_3_del_60_porfa,v46_larga_pedido_cantidad_humana,buenas trades || voy a hacer pedido de velluto || ponme dos 429 || y tambien 3 del 60 porfa,"{""scope"": ""all"", ""expected_items"": [{""codigo"": ""429"", ""cantidad"": 2}, {""codigo"": ""60"", ""cantidad"": 3}], ""must_contain_any"": [""429"", ""60"", ""cotiz"", ""agrego""]}"
00005_v46_larga_codigo_cantidad_invertido_el_429_dos_y_el_55_tres,v46_larga_codigo_cantidad_invertido,oye una pregunta || si manejas velluto verdad? || ok quiero pedido || el 429 dos y el 55 tres,"{""scope"": ""all"", ""expected_items"": [{""codigo"": ""429"", ""cantidad"": 2}, {""codigo"": ""55"", ""cantidad"": 3}], ""must_contain_any"": [""429"", ""55"", ""cotiz"", ""agrego""]}"
00006_v46_larga_colores_cantidad_humana_nesecito_sinco_del_negro_y_dos_del_blanco_de_velluto,v46_larga_colores_cantidad_humana,hola || tengo una lista mas o menos || nesecito sinco del negro y dos del blanco de velluto,"{""scope"": ""all"", ""expected_items"": [{""codigo"": ""60"", ""cantidad"": 5}, {""codigo"": ""55"", ""cantidad"": 2}], ""must_contain_any"": [""negro"", ""blanco"", ""60"", ""55""]}"
00007_v46_real_recomendacion_proyecto_codigo_quiero_hacer_un_osito_que_tono_me_recomiendas_como_beige,v46_real_recomendacion_proyecto_codigo,"holaaa buenas || de pura casualidad manejas velluto? || busco algo para peluche, no quiero que quede duro || quiero hacer un osito, que tono me recomiendas como beige?","{""scope"": ""all"", ""must_contain_any"": [""osito"", ""beige"", ""recom"", ""tono""], ""must_not_only_ask_hilo_codigo"": true}"
00008_v46_real_pedido_codigo_cantidad_necesito_cinco_del_negro_y_dos_del_blanco_de_velluto,v46_real_pedido_codigo_cantidad,buen dia disculpe || manejas el velluto de alize? || bueno si voy a hacer pedido || necesito cinco del negro y dos del blanco de velluto,"{""scope"": ""all"", ""expected_items"": [{""codigo"": ""60"", ""cantidad"": 5}, {""codigo"": ""55"", ""cantidad"": 2}], ""must_contain_any"": [""cotiz"", ""agrego"", ""pedido""]}"
00009_v46_real_pedido_codigo_cantidad_el_429_dos,v46_real_pedido_codigo_cantidad,"hola de pura casualidad || manejaz velluto? || que bien, me podria mandar el catalogo por favor? || tienes otros tonos como cafe o gris? || bueno si voy a hacer pedido || el 429 dos","{""scope"": ""all"", ""expected_items"": [{""codigo"": ""429"", ""cantidad"": 2}], ""must_contain_any"": [""cotiz"", ""agrego"", ""pedido""]}"
00010_v46_real_recomendacion_proyecto_codigo_y_si_crees_que_me_sirva_para_un_elefante_el_codigo_87_o_seria_mejor_el,v46_real_recomendacion_proyecto_codigo,"buenas tardes, disculpa || de pura casualidad manejas velluto? || me mandas la gama completa? || busco algo para peluche, no quiero que quede duro || y si crees que me sirva para un elefante el codigo 87 o seria mejor el 416?","{""scope"": ""all"", ""must_contain_any"": [""elefante"", ""sirv"", ""recom"", ""opci"", ""87"", ""416""], ""must_not_only_ask_hilo_codigo"": true}"
00011_v46_real_mixta_larga_multiintencion_mejor_solo_mandame_foto_por_ahora,v46_real_mixta_larga_multiintencion,"Hola buenas tardes || hay velluto disponible? || que bien, me podria mandar el catalogo por favor? || me gustaria algo para amigurumi pero no se mucho || me muestras el 429 y 550? || mejor solo mandame foto por ahora","{""scope"": ""all"", ""must_contain_any"": [""429"", ""foto"", ""stock"", ""gancho"", ""precio"", ""elefante"", ""revis"", ""cotiz"", ""agrego""], ""must_not_contain_any"": [""descuento aprobado""]}"
00012_v46_real_recomendacion_proyecto_codigo_para_un_amigurumi_grande_queda_mejor_velluto_o_komfy_mini,v46_real_recomendacion_proyecto_codigo,"buenas tardes, disculpa || si trabajas velluto? || que bien, me podria mandar el catalogo por favor? || busco algo para peluche, no quiero que quede duro || para un amigurumi grande queda mejor velluto o komfy mini?","{""scope"": ""all"", ""must_contain_any"": [""amigurumi"", ""velluto"", ""komfy"", ""recom""], ""must_not_only_ask_hilo_codigo"": true}"
00013_v46_real_foto_tono_contexto_quiero_ver_como_se_ve_el_107,v46_real_foto_tono_contexto,"buenas tardes, disculpa || hay velluto disponible? || me puedes pasar la carta de colores? || quiero ver como se ve el 107","{""scope"": ""all"", ""must_contain_any"": [""107"", ""foto"", ""tono"", ""ver""], ""expected_no_pedidos"": true}"
00014_v46_real_pedido_codigo_cantidad_ponme_dos_429,v46_real_pedido_codigo_cantidad,holaaa buenas || de pura casualidad manejas velluto? || me mandas la gama completa? || bueno si voy a hacer pedido || ponme dos 429,"{""scope"": ""all"", ""expected_items"": [{""codigo"": ""429"", ""cantidad"": 2}], ""must_contain_any"": [""cotiz"", ""agrego"", ""pedido""]}"
00015_v46_real_foto_tono_contexto_tienes_imagen_del_60,v46_real_foto_tono_contexto,"holaaa buenas || manejas el velluto de alize? || mmm no me encantaron esos tonos, tienes otros mas claritos? || tienes imagen del 60?","{""scope"": ""all"", ""must_contain_any"": [""60"", ""foto"", ""imagen""], ""expected_no_pedidos"": true}"
00016_v46_real_foto_tono_contexto_me_mandas_foto_del_429_antes_de_pedir,v46_real_foto_tono_contexto,"buenas tardes, disculpa || hay velluto disponible? || tienes catalogo de tonos? || me mandas foto del 429 antes de pedir?","{""scope"": ""all"", ""must_contain_any"": [""429"", ""foto""], ""expected_no_pedidos"": true}"
